# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 5.148150e+01
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	6.893430e-04	1.511759e-03	1.387048e-03	1.382867e-03	4.181066e-06
50            	5.228168e-01	-3.726291e-01	1.760375e+00	1.403004e+00	3.573706e-01
100           	6.340167e-01	-5.207878e-01	2.122195e+00	1.695114e+00	4.270809e-01
150           	6.660572e-01	-4.709358e-01	2.283896e+00	1.808005e+00	4.758910e-01
200           	6.918230e-01	-3.472183e-01	2.324654e+00	1.854150e+00	4.705042e-01
250           	7.495942e-01	-2.335324e-01	2.345307e+00	1.922248e+00	4.230593e-01
300           	8.932674e-01	-1.374628e-01	2.460773e+00	2.123654e+00	3.371189e-01
350           	1.090122e+00	-4.834286e-02	2.569611e+00	2.374928e+00	1.946830e-01
400           	1.083248e+00	5.502130e-02	2.249097e+00	2.207796e+00	4.130078e-02
450           	6.670801e-01	2.412787e-01	1.099565e+00	1.216863e+00	-1.172977e-01
500           	1.046507e-01	3.125594e-01	-1.054965e-01	5.190245e-02	-1.573990e-01
